height,skin_tone,body_type,gender,style_preference,fit_recommendation,top_recommendation,color_recommendation,extra_recommendation
short,dark,heavy,unisex,streetwear,cropped jacket with tapered joggers,oversized t-shirt with a statement jacket,"black, olive, and muted accent colors",low-contrast sneakers and shorter outerwear
short,dark,heavy,unisex,streetwear,cropped jacket with tapered joggers,graphic tee with a roomy overshirt,"black, olive, and muted accent colors",low-contrast sneakers and shorter outerwear
average,fair,slim,male,casual,slim fit jeans with a clean silhouette,earth-tone polo or knit top,"olive, rust, and soft blue",minimal accessories and classic sneakers
average,fair,slim,male,casual,slim fit jeans with a clean silhouette,earth-tone polo or knit top,"olive, rust, and soft blue",clean sneakers and simple layering pieces
average,fair,slim,male,formal,tailored blazer and straight-fit trousers,button-down shirt with a lightweight blazer,"navy, charcoal, and white",minimal accessories and classic sneakers
average,fair,slim,male,formal,smart tailored separates with neat proportions,button-down shirt with a lightweight blazer,"navy, charcoal, and white",minimal accessories and classic sneakers
average,fair,slim,male,streetwear,oversized layers with relaxed-fit pants,oversized t-shirt with a statement jacket,"black, olive, and muted accent colors",minimal accessories and classic sneakers
average,fair,slim,male,streetwear,oversized layers with relaxed-fit pants,graphic tee with a roomy overshirt,"black, olive, and muted accent colors",minimal accessories and classic sneakers
average,fair,slim,female,casual,slim fit jeans with a clean silhouette,earth-tone polo or knit top,"olive, rust, and soft blue",structured accessories and clean footwear
average,fair,slim,female,casual,slim fit jeans with a clean silhouette,earth-tone polo or knit top,"olive, rust, and soft blue",clean sneakers and simple layering pieces
average,fair,slim,female,formal,tailored blazer and straight-fit trousers,button-down shirt with a lightweight blazer,"navy, charcoal, and white",structured accessories and clean footwear
average,fair,slim,female,formal,smart tailored separates with neat proportions,button-down shirt with a lightweight blazer,"navy, charcoal, and white",structured accessories and clean footwear
average,fair,slim,female,streetwear,oversized layers with relaxed-fit pants,oversized t-shirt with a statement jacket,"black, olive, and muted accent colors",structured accessories and clean footwear
average,fair,slim,female,streetwear,oversized layers with relaxed-fit pants,graphic tee with a roomy overshirt,"black, olive, and muted accent colors",structured accessories and clean footwear
average,fair,slim,unisex,casual,slim fit jeans with a clean silhouette,earth-tone polo or knit top,"olive, rust, and soft blue",minimal accessories and classic sneakers
average,fair,slim,unisex,casual,slim fit jeans with a clean silhouette,earth-tone polo or knit top,"olive, rust, and soft blue",clean sneakers and simple layering pieces
average,fair,slim,unisex,formal,tailored blazer and straight-fit trousers,button-down shirt with a lightweight blazer,"navy, charcoal, and white",minimal accessories and classic sneakers
average,fair,slim,unisex,formal,smart tailored separates with neat proportions,button-down shirt with a lightweight blazer,"navy, charcoal, and white",minimal accessories and classic sneakers
average,fair,slim,unisex,streetwear,oversized layers with relaxed-fit pants,oversized t-shirt with a statement jacket,"black, olive, and muted accent colors",minimal accessories and classic sneakers
average,fair,slim,unisex,streetwear,oversized layers with relaxed-fit pants,graphic tee with a roomy overshirt,"black, olive, and muted accent colors",minimal accessories and classic sneakers
average,fair,athletic,male,casual,athletic taper chinos with fitted basics,earth-tone polo or knit top,"olive, rust, and soft blue",minimal accessories and classic sneakers
average,fair,athletic,male,casual,athletic taper chinos with fitted basics,earth-tone polo or knit top,"olive, rust, and soft blue",clean sneakers and simple layering pieces
average,fair,athletic,male,formal,tailored blazer and straight-fit trousers,button-down shirt with a lightweight blazer,"navy, charcoal, and white",minimal accessories and classic sneakers
average,fair,athletic,male,formal,smart tailored separates with neat proportions,button-down shirt with a lightweight blazer,"navy, charcoal, and white",minimal accessories and classic sneakers
average,fair,athletic,male,streetwear,oversized layers with relaxed-fit pants,oversized t-shirt with a statement jacket,"black, olive, and muted accent colors",minimal accessories and classic sneakers
average,fair,athletic,male,streetwear,oversized layers with relaxed-fit pants,graphic tee with a roomy overshirt,"black, olive, and muted accent colors",minimal accessories and classic sneakers
average,fair,athletic,female,casual,athletic taper chinos with fitted basics,earth-tone polo or knit top,"olive, rust, and soft blue",structured accessories and clean footwear
average,fair,athletic,female,casual,athletic taper chinos with fitted basics,earth-tone polo or knit top,"olive, rust, and soft blue",clean sneakers and simple layering pieces
average,fair,athletic,female,formal,tailored blazer and straight-fit trousers,button-down shirt with a lightweight blazer,"navy, charcoal, and white",structured accessories and clean footwear
average,fair,athletic,female,formal,smart tailored separates with neat proportions,button-down shirt with a lightweight blazer,"navy, charcoal, and white",structured accessories and clean footwear
average,fair,athletic,female,streetwear,oversized layers with relaxed-fit pants,oversized t-shirt with a statement jacket,"black, olive, and muted accent colors",structured accessories and clean footwear
average,fair,athletic,female,streetwear,oversized layers with relaxed-fit pants,graphic tee with a roomy overshirt,"black, olive, and muted accent colors",structured accessories and clean footwear
average,fair,athletic,unisex,casual,athletic taper chinos with fitted basics,earth-tone polo or knit top,"olive, rust, and soft blue",minimal accessories and classic sneakers
average,fair,athletic,unisex,casual,athletic taper chinos with fitted basics,earth-tone polo or knit top,"olive, rust, and soft blue",clean sneakers and simple layering pieces
average,fair,athletic,unisex,formal,tailored blazer and straight-fit trousers,button-down shirt with a lightweight blazer,"navy, charcoal, and white",minimal accessories and classic sneakers
average,fair,athletic,unisex,formal,smart tailored separates with neat proportions,button-down shirt with a lightweight blazer,"navy, charcoal, and white",minimal accessories and classic sneakers
average,fair,athletic,unisex,streetwear,oversized layers with relaxed-fit pants,oversized t-shirt with a statement jacket,"black, olive, and muted accent colors",minimal accessories and classic sneakers
average,fair,athletic,unisex,streetwear,oversized layers with relaxed-fit pants,graphic tee with a roomy overshirt,"black, olive, and muted accent colors",minimal accessories and classic sneakers
average,fair,heavy,male,casual,relaxed fit jeans with a balanced drape,earth-tone polo or knit top,"olive, rust, and soft blue",vertical patterns and open layers
average,fair,heavy,male,casual,relaxed fit jeans with a balanced drape,earth-tone polo or knit top,"olive, rust, and soft blue",clean sneakers and simple layering pieces
average,fair,heavy,male,formal,structured blazer and relaxed trousers,button-down shirt with a lightweight blazer,"navy, charcoal, and white",vertical patterns and open layers
average,fair,heavy,male,formal,smart tailored separates with neat proportions,button-down shirt with a lightweight blazer,"navy, charcoal, and white",vertical patterns and open layers
average,fair,heavy,male,streetwear,oversized layers with relaxed-fit pants,oversized t-shirt with a statement jacket,"black, olive, and muted accent colors",vertical patterns and open layers
average,fair,heavy,male,streetwear,oversized layers with relaxed-fit pants,graphic tee with a roomy overshirt,"black, olive, and muted accent colors",vertical patterns and open layers
average,fair,heavy,female,casual,relaxed fit jeans with a balanced drape,earth-tone polo or knit top,"olive, rust, and soft blue",vertical patterns and open layers
average,fair,heavy,female,casual,relaxed fit jeans with a balanced drape,earth-tone polo or knit top,"olive, rust, and soft blue",clean sneakers and simple layering pieces
average,fair,heavy,female,formal,structured blazer and relaxed trousers,button-down shirt with a lightweight blazer,"navy, charcoal, and white",vertical patterns and open layers
average,fair,heavy,female,formal,smart tailored separates with neat proportions,button-down shirt with a lightweight blazer,"navy, charcoal, and white",vertical patterns and open layers
average,fair,heavy,female,streetwear,oversized layers with relaxed-fit pants,oversized t-shirt with a statement jacket,"black, olive, and muted accent colors",vertical patterns and open layers
average,fair,heavy,female,streetwear,oversized layers with relaxed-fit pants,graphic tee with a roomy overshirt,"black, olive, and muted accent colors",vertical patterns and open layers
average,fair,heavy,unisex,casual,relaxed fit jeans with a balanced drape,earth-tone polo or knit top,"olive, rust, and soft blue",vertical patterns and open layers
average,fair,heavy,unisex,casual,relaxed fit jeans with a balanced drape,earth-tone polo or knit top,"olive, rust, and soft blue",clean sneakers and simple layering pieces
average,fair,heavy,unisex,formal,structured blazer and relaxed trousers,button-down shirt with a lightweight blazer,"navy, charcoal, and white",vertical patterns and open layers
average,fair,heavy,unisex,formal,smart tailored separates with neat proportions,button-down shirt with a lightweight blazer,"navy, charcoal, and white",vertical patterns and open layers
average,fair,heavy,unisex,streetwear,oversized layers with relaxed-fit pants,oversized t-shirt with a statement jacket,"black, olive, and muted accent colors",vertical patterns and open layers
average,fair,heavy,unisex,streetwear,oversized layers with relaxed-fit pants,graphic tee with a roomy overshirt,"black, olive, and muted accent colors",vertical patterns and open layers
average,medium,slim,male,casual,slim fit jeans with a clean silhouette,rich jewel-tone shirt or tee,"emerald, burgundy, and cream",minimal accessories and classic sneakers
average,medium,slim,male,casual,slim fit jeans with a clean silhouette,rich jewel-tone shirt or tee,"emerald, burgundy, and cream",clean sneakers and simple layering pieces
average,medium,slim,male,formal,tailored blazer and straight-fit trousers,button-down shirt with a lightweight blazer,"navy, charcoal, and white",minimal accessories and classic sneakers
average,medium,slim,male,formal,smart tailored separates with neat proportions,button-down shirt with a lightweight blazer,"navy, charcoal, and white",minimal accessories and classic sneakers
average,medium,slim,male,streetwear,oversized layers with relaxed-fit pants,oversized t-shirt with a statement jacket,"black, olive, and muted accent colors",minimal accessories and classic sneakers
average,medium,slim,male,streetwear,oversized layers with relaxed-fit pants,graphic tee with a roomy overshirt,"black, olive, and muted accent colors",minimal accessories and classic sneakers
average,medium,slim,female,casual,slim fit jeans with a clean silhouette,rich jewel-tone shirt or tee,"emerald, burgundy, and cream",structured accessories and clean footwear
average,medium,slim,female,casual,slim fit jeans with a clean silhouette,rich jewel-tone shirt or tee,"emerald, burgundy, and cream",clean sneakers and simple layering pieces
average,medium,slim,female,formal,tailored blazer and straight-fit trousers,button-down shirt with a lightweight blazer,"navy, charcoal, and white",structured accessories and clean footwear
average,medium,slim,female,formal,smart tailored separates with neat proportions,button-down shirt with a lightweight blazer,"navy, charcoal, and white",structured accessories and clean footwear
average,medium,slim,female,streetwear,oversized layers with relaxed-fit pants,oversized t-shirt with a statement jacket,"black, olive, and muted accent colors",structured accessories and clean footwear
average,medium,slim,female,streetwear,oversized layers with relaxed-fit pants,graphic tee with a roomy overshirt,"black, olive, and muted accent colors",structured accessories and clean footwear
average,medium,slim,unisex,casual,slim fit jeans with a clean silhouette,rich jewel-tone shirt or tee,"emerald, burgundy, and cream",minimal accessories and classic sneakers
average,medium,slim,unisex,casual,slim fit jeans with a clean silhouette,rich jewel-tone shirt or tee,"emerald, burgundy, and cream",clean sneakers and simple layering pieces
average,medium,slim,unisex,formal,tailored blazer and straight-fit trousers,button-down shirt with a lightweight blazer,"navy, charcoal, and white",minimal accessories and classic sneakers
average,medium,slim,unisex,formal,smart tailored separates with neat proportions,button-down shirt with a lightweight blazer,"navy, charcoal, and white",minimal accessories and classic sneakers
average,medium,slim,unisex,streetwear,oversized layers with relaxed-fit pants,oversized t-shirt with a statement jacket,"black, olive, and muted accent colors",minimal accessories and classic sneakers
average,medium,slim,unisex,streetwear,oversized layers with relaxed-fit pants,graphic tee with a roomy overshirt,"black, olive, and muted accent colors",minimal accessories and classic sneakers
average,medium,athletic,male,casual,athletic taper chinos with fitted basics,rich jewel-tone shirt or tee,"emerald, burgundy, and cream",minimal accessories and classic sneakers
average,medium,athletic,male,casual,athletic taper chinos with fitted basics,rich jewel-tone shirt or tee,"emerald, burgundy, and cream",clean sneakers and simple layering pieces
average,medium,athletic,male,formal,tailored blazer and straight-fit trousers,button-down shirt with a lightweight blazer,"navy, charcoal, and white",minimal accessories and classic sneakers
average,medium,athletic,male,formal,smart tailored separates with neat proportions,button-down shirt with a lightweight blazer,"navy, charcoal, and white",minimal accessories and classic sneakers
average,medium,athletic,male,streetwear,oversized layers with relaxed-fit pants,oversized t-shirt with a statement jacket,"black, olive, and muted accent colors",minimal accessories and classic sneakers
average,medium,athletic,male,streetwear,oversized layers with relaxed-fit pants,graphic tee with a roomy overshirt,"black, olive, and muted accent colors",minimal accessories and classic sneakers
average,medium,athletic,female,casual,athletic taper chinos with fitted basics,rich jewel-tone shirt or tee,"emerald, burgundy, and cream",structured accessories and clean footwear
average,medium,athletic,female,casual,athletic taper chinos with fitted basics,rich jewel-tone shirt or tee,"emerald, burgundy, and cream",clean sneakers and simple layering pieces
average,medium,athletic,female,formal,tailored blazer and straight-fit trousers,button-down shirt with a lightweight blazer,"navy, charcoal, and white",structured accessories and clean footwear
average,medium,athletic,female,formal,smart tailored separates with neat proportions,button-down shirt with a lightweight blazer,"navy, charcoal, and white",structured accessories and clean footwear
average,medium,athletic,female,streetwear,oversized layers with relaxed-fit pants,oversized t-shirt with a statement jacket,"black, olive, and muted accent colors",structured accessories and clean footwear
average,medium,athletic,female,streetwear,oversized layers with relaxed-fit pants,graphic tee with a roomy overshirt,"black, olive, and muted accent colors",structured accessories and clean footwear
average,medium,athletic,unisex,casual,athletic taper chinos with fitted basics,rich jewel-tone shirt or tee,"emerald, burgundy, and cream",minimal accessories and classic sneakers
average,medium,athletic,unisex,casual,athletic taper chinos with fitted basics,rich jewel-tone shirt or tee,"emerald, burgundy, and cream",clean sneakers and simple layering pieces
average,medium,athletic,unisex,formal,tailored blazer and straight-fit trousers,button-down shirt with a lightweight blazer,"navy, charcoal, and white",minimal accessories and classic sneakers
average,medium,athletic,unisex,formal,smart tailored separates with neat proportions,button-down shirt with a lightweight blazer,"navy, charcoal, and white",minimal accessories and classic sneakers
average,medium,athletic,unisex,streetwear,oversized layers with relaxed-fit pants,oversized t-shirt with a statement jacket,"black, olive, and muted accent colors",minimal accessories and classic sneakers
average,medium,athletic,unisex,streetwear,oversized layers with relaxed-fit pants,graphic tee with a roomy overshirt,"black, olive, and muted accent colors",minimal accessories and classic sneakers
average,medium,heavy,male,casual,relaxed fit jeans with a balanced drape,rich jewel-tone shirt or tee,"emerald, burgundy, and cream",vertical patterns and open layers
average,medium,heavy,male,casual,relaxed fit jeans with a balanced drape,rich jewel-tone shirt or tee,"emerald, burgundy, and cream",clean sneakers and simple layering pieces
average,medium,heavy,male,formal,structured blazer and relaxed trousers,button-down shirt with a lightweight blazer,"navy, charcoal, and white",vertical patterns and open layers
average,medium,heavy,male,formal,smart tailored separates with neat proportions,button-down shirt with a lightweight blazer,"navy, charcoal, and white",vertical patterns and open layers
average,medium,heavy,male,streetwear,oversized layers with relaxed-fit pants,oversized t-shirt with a statement jacket,"black, olive, and muted accent colors",vertical patterns and open layers
average,medium,heavy,male,streetwear,oversized layers with relaxed-fit pants,graphic tee with a roomy overshirt,"black, olive, and muted accent colors",vertical patterns and open layers
average,medium,heavy,female,casual,relaxed fit jeans with a balanced drape,rich jewel-tone shirt or tee,"emerald, burgundy, and cream",vertical patterns and open layers
average,medium,heavy,female,casual,relaxed fit jeans with a balanced drape,rich jewel-tone shirt or tee,"emerald, burgundy, and cream",clean sneakers and simple layering pieces
average,medium,heavy,female,formal,structured blazer and relaxed trousers,button-down shirt with a lightweight blazer,"navy, charcoal, and white",vertical patterns and open layers
average,medium,heavy,female,formal,smart tailored separates with neat proportions,button-down shirt with a lightweight blazer,"navy, charcoal, and white",vertical patterns and open layers
average,medium,heavy,female,streetwear,oversized layers with relaxed-fit pants,oversized t-shirt with a statement jacket,"black, olive, and muted accent colors",vertical patterns and open layers
average,medium,heavy,female,streetwear,oversized layers with relaxed-fit pants,graphic tee with a roomy overshirt,"black, olive, and muted accent colors",vertical patterns and open layers
average,medium,heavy,unisex,casual,relaxed fit jeans with a balanced drape,rich jewel-tone shirt or tee,"emerald, burgundy, and cream",vertical patterns and open layers
average,medium,heavy,unisex,casual,relaxed fit jeans with a balanced drape,rich jewel-tone shirt or tee,"emerald, burgundy, and cream",clean sneakers and simple layering pieces
average,medium,heavy,unisex,formal,structured blazer and relaxed trousers,button-down shirt with a lightweight blazer,"navy, charcoal, and white",vertical patterns and open layers
average,medium,heavy,unisex,formal,smart tailored separates with neat proportions,button-down shirt with a lightweight blazer,"navy, charcoal, and white",vertical patterns and open layers
average,medium,heavy,unisex,streetwear,oversized layers with relaxed-fit pants,oversized t-shirt with a statement jacket,"black, olive, and muted accent colors",vertical patterns and open layers
average,medium,heavy,unisex,streetwear,oversized layers with relaxed-fit pants,graphic tee with a roomy overshirt,"black, olive, and muted accent colors",vertical patterns and open layers
average,dark,slim,male,casual,slim fit jeans with a clean silhouette,crisp pastel tee or textured overshirt,"mustard, lavender, and sky blue",minimal accessories and classic sneakers
average,dark,slim,male,casual,slim fit jeans with a clean silhouette,crisp pastel tee or textured overshirt,"mustard, lavender, and sky blue",clean sneakers and simple layering pieces
average,dark,slim,male,formal,tailored blazer and straight-fit trousers,button-down shirt with a lightweight blazer,"navy, charcoal, and white",minimal accessories and classic sneakers
average,dark,slim,male,formal,smart tailored separates with neat proportions,button-down shirt with a lightweight blazer,"navy, charcoal, and white",minimal accessories and classic sneakers
average,dark,slim,male,streetwear,oversized layers with relaxed-fit pants,oversized t-shirt with a statement jacket,"black, olive, and muted accent colors",minimal accessories and classic sneakers
average,dark,slim,male,streetwear,oversized layers with relaxed-fit pants,graphic tee with a roomy overshirt,"black, olive, and muted accent colors",minimal accessories and classic sneakers
average,dark,slim,female,casual,slim fit jeans with a clean silhouette,crisp pastel tee or textured overshirt,"mustard, lavender, and sky blue",structured accessories and clean footwear
average,dark,slim,female,casual,slim fit jeans with a clean silhouette,crisp pastel tee or textured overshirt,"mustard, lavender, and sky blue",clean sneakers and simple layering pieces
average,dark,slim,female,formal,tailored blazer and straight-fit trousers,button-down shirt with a lightweight blazer,"navy, charcoal, and white",structured accessories and clean footwear
average,dark,slim,female,formal,smart tailored separates with neat proportions,button-down shirt with a lightweight blazer,"navy, charcoal, and white",structured accessories and clean footwear
average,dark,slim,female,streetwear,oversized layers with relaxed-fit pants,oversized t-shirt with a statement jacket,"black, olive, and muted accent colors",structured accessories and clean footwear
average,dark,slim,female,streetwear,oversized layers with relaxed-fit pants,graphic tee with a roomy overshirt,"black, olive, and muted accent colors",structured accessories and clean footwear
average,dark,slim,unisex,casual,slim fit jeans with a clean silhouette,crisp pastel tee or textured overshirt,"mustard, lavender, and sky blue",minimal accessories and classic sneakers
average,dark,slim,unisex,casual,slim fit jeans with a clean silhouette,crisp pastel tee or textured overshirt,"mustard, lavender, and sky blue",clean sneakers and simple layering pieces
average,dark,slim,unisex,formal,tailored blazer and straight-fit trousers,button-down shirt with a lightweight blazer,"navy, charcoal, and white",minimal accessories and classic sneakers
average,dark,slim,unisex,formal,smart tailored separates with neat proportions,button-down shirt with a lightweight blazer,"navy, charcoal, and white",minimal accessories and classic sneakers
average,dark,slim,unisex,streetwear,oversized layers with relaxed-fit pants,oversized t-shirt with a statement jacket,"black, olive, and muted accent colors",minimal accessories and classic sneakers
average,dark,slim,unisex,streetwear,oversized layers with relaxed-fit pants,graphic tee with a roomy overshirt,"black, olive, and muted accent colors",minimal accessories and classic sneakers
average,dark,athletic,male,casual,athletic taper chinos with fitted basics,crisp pastel tee or textured overshirt,"mustard, lavender, and sky blue",minimal accessories and classic sneakers
average,dark,athletic,male,casual,athletic taper chinos with fitted basics,crisp pastel tee or textured overshirt,"mustard, lavender, and sky blue",clean sneakers and simple layering pieces
average,dark,athletic,male,formal,tailored blazer and straight-fit trousers,button-down shirt with a lightweight blazer,"navy, charcoal, and white",minimal accessories and classic sneakers
average,dark,athletic,male,formal,smart tailored separates with neat proportions,button-down shirt with a lightweight blazer,"navy, charcoal, and white",minimal accessories and classic sneakers
average,dark,athletic,male,streetwear,oversized layers with relaxed-fit pants,oversized t-shirt with a statement jacket,"black, olive, and muted accent colors",minimal accessories and classic sneakers
average,dark,athletic,male,streetwear,oversized layers with relaxed-fit pants,graphic tee with a roomy overshirt,"black, olive, and muted accent colors",minimal accessories and classic sneakers
average,dark,athletic,female,casual,athletic taper chinos with fitted basics,crisp pastel tee or textured overshirt,"mustard, lavender, and sky blue",structured accessories and clean footwear
average,dark,athletic,female,casual,athletic taper chinos with fitted basics,crisp pastel tee or textured overshirt,"mustard, lavender, and sky blue",clean sneakers and simple layering pieces
average,dark,athletic,female,formal,tailored blazer and straight-fit trousers,button-down shirt with a lightweight blazer,"navy, charcoal, and white",structured accessories and clean footwear
average,dark,athletic,female,formal,smart tailored separates with neat proportions,button-down shirt with a lightweight blazer,"navy, charcoal, and white",structured accessories and clean footwear
average,dark,athletic,female,streetwear,oversized layers with relaxed-fit pants,oversized t-shirt with a statement jacket,"black, olive, and muted accent colors",structured accessories and clean footwear
average,dark,athletic,female,streetwear,oversized layers with relaxed-fit pants,graphic tee with a roomy overshirt,"black, olive, and muted accent colors",structured accessories and clean footwear
average,dark,athletic,unisex,casual,athletic taper chinos with fitted basics,crisp pastel tee or textured overshirt,"mustard, lavender, and sky blue",minimal accessories and classic sneakers
average,dark,athletic,unisex,casual,athletic taper chinos with fitted basics,crisp pastel tee or textured overshirt,"mustard, lavender, and sky blue",clean sneakers and simple layering pieces
average,dark,athletic,unisex,formal,tailored blazer and straight-fit trousers,button-down shirt with a lightweight blazer,"navy, charcoal, and white",minimal accessories and classic sneakers
average,dark,athletic,unisex,formal,smart tailored separates with neat proportions,button-down shirt with a lightweight blazer,"navy, charcoal, and white",minimal accessories and classic sneakers
average,dark,athletic,unisex,streetwear,oversized layers with relaxed-fit pants,oversized t-shirt with a statement jacket,"black, olive, and muted accent colors",minimal accessories and classic sneakers
average,dark,athletic,unisex,streetwear,oversized layers with relaxed-fit pants,graphic tee with a roomy overshirt,"black, olive, and muted accent colors",minimal accessories and classic sneakers
average,dark,heavy,male,casual,relaxed fit jeans with a balanced drape,crisp pastel tee or textured overshirt,"mustard, lavender, and sky blue",vertical patterns and open layers
average,dark,heavy,male,casual,relaxed fit jeans with a balanced drape,crisp pastel tee or textured overshirt,"mustard, lavender, and sky blue",clean sneakers and simple layering pieces
average,dark,heavy,male,formal,structured blazer and relaxed trousers,button-down shirt with a lightweight blazer,"navy, charcoal, and white",vertical patterns and open layers
average,dark,heavy,male,formal,smart tailored separates with neat proportions,button-down shirt with a lightweight blazer,"navy, charcoal, and white",vertical patterns and open layers
average,dark,heavy,male,streetwear,oversized layers with relaxed-fit pants,oversized t-shirt with a statement jacket,"black, olive, and muted accent colors",vertical patterns and open layers
average,dark,heavy,male,streetwear,oversized layers with relaxed-fit pants,graphic tee with a roomy overshirt,"black, olive, and muted accent colors",vertical patterns and open layers
average,dark,heavy,female,casual,relaxed fit jeans with a balanced drape,crisp pastel tee or textured overshirt,"mustard, lavender, and sky blue",vertical patterns and open layers
average,dark,heavy,female,casual,relaxed fit jeans with a balanced drape,crisp pastel tee or textured overshirt,"mustard, lavender, and sky blue",clean sneakers and simple layering pieces
average,dark,heavy,female,formal,structured blazer and relaxed trousers,button-down shirt with a lightweight blazer,"navy, charcoal, and white",vertical patterns and open layers
average,dark,heavy,female,formal,smart tailored separates with neat proportions,button-down shirt with a lightweight blazer,"navy, charcoal, and white",vertical patterns and open layers
average,dark,heavy,female,streetwear,oversized layers with relaxed-fit pants,oversized t-shirt with a statement jacket,"black, olive, and muted accent colors",vertical patterns and open layers
average,dark,heavy,female,streetwear,oversized layers with relaxed-fit pants,graphic tee with a roomy overshirt,"black, olive, and muted accent colors",vertical patterns and open layers
average,dark,heavy,unisex,casual,relaxed fit jeans with a balanced drape,crisp pastel tee or textured overshirt,"mustard, lavender, and sky blue",vertical patterns and open layers
average,dark,heavy,unisex,casual,relaxed fit jeans with a balanced drape,crisp pastel tee or textured overshirt,"mustard, lavender, and sky blue",clean sneakers and simple layering pieces
average,dark,heavy,unisex,formal,structured blazer and relaxed trousers,button-down shirt with a lightweight blazer,"navy, charcoal, and white",vertical patterns and open layers
